ID , MJDStart, MJDStop, sqrtTS, PhotonFlux, PhotonFluxError, Counts, CountsError, Luminosity, LuminosityError, OrbitalPhase
E01,  54343.0, 54344.0,    3.5, 1.75E-6   , 0.63E-6        ,     33,          12, 0.66E37   , 0.24E37        ,         0.77
E02,  54732.0, 54733.0,    3.4, 1.51E-6   , 0.57E-6        ,     31,          12, 0.57E37   , 0.21E37        ,         0.82
E03,  54746.0, 54747.0,    3.4, 1.46E-6   , 0.55E-6        ,     28,          11, 0.55E37   , 0.21E37        ,         0.48
E04,  54915.0, 54916.0,    4.2, 2.19E-6   , 0.66E-6        ,     44,          13, 0.82E37   , 0.25E37        ,         0.48
E05,  54935.0, 54936.0,    5.7, 3.33E-6   , 0.75E-6        ,     62,          14, 1.25E37   , 0.28E37        ,         0.85
E06,  55100.0, 55101.0,    3.3, 1.21E-6   , 0.49E-6        ,     26,          10, 0.45E37   , 0.18E37        ,         0.38
E07,  55109.0, 55110.0,    3.6, 1.92E-6   , 0.71E-6        ,     27,          10, 0.72E37   , 0.27E37        ,         0.45
E08,  55112.0, 55113.0,    3.6, 1.84E-6   , 0.65E-6        ,     37,          13, 0.69E37   , 0.24E37        ,         0.80
E09,  55599.0, 55600.0,    3.7, 3.07E-6   , 1.30E-6        ,     14,           6, 1.15E37   , 0.49E37        ,         0.45
E10,  56182.0, 56183.0,    3.3, 2.36E-6   , 1.07E-6        ,     15,           7, 0.88E37   , 0.40E37        ,         0.47
E11,  56199.0, 56200.0,    3.5, 3.42E-6   , 1.36E-6        ,     18,           7, 1.28E37   , 0.51E37        ,         0.48
E12,  56351.0, 56352.0,    3.3, 3.10E-6   , 1.90E-6        ,     12,           6, 1.16E37   , 0.71E37        ,         0.48
E13,  57786.0, 57787.0,    4.3, 5.55E-6   , 1.89E-6        ,     21,           7, 2.08E37   , 0.71E37        ,         0.35
E14,  57823.0, 57824.0,    3.9, 4.46E-6   , 1.52E-6        ,     27,           9, 1.67E37   , 0.57E37        ,         0.73
E15,  58199.0, 58200.0,    3.6, 3.32E-6   , 1.36E-6        ,     19,           8, 1.24E37   , 0.51E37        ,         0.24
E16,  58368.0, 58369.0,    3.3, 3.02E-6   , 1.34E-6        ,     16,           7, 1.13E37   , 0.50E37        ,         0.24
E17,  58744.0, 58745.0,    4.0, 3.74E-6   , 1.38E-6        ,     21,           8, 1.40E37   , 0.52E37        ,         0.76
E18,  59656.0, 59657.0,    3.3, 2.95E-6   , 1.31E-6        ,     16,           7, 1.10E37   , 0.49E37        ,         0.72
E19,  59806.0, 59807.0,    3.4, 4.21E-6   , 1.83E-6        ,     14,           6, 1.57E37   , 0.69E37        ,         0.48
