2026-01-15 15:56:09 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | The region catalog /shared_dir/panebiancogabriele/IGRJ17354-3255/DetectionFlare/results/MJD_54343_54344/panebianco_AGLJ1736-3250_20260115-155604/sources_library/source_regions.reg will be loaded. | (PlottingUtils.py:192)
2026-01-15 15:56:09 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | Produced: /shared_dir/panebiancogabriele/IGRJ17354-3255/DetectionFlare/results/MJD_54343_54344/panebianco_AGLJ1736-3250_20260115-155604/plots/analysis_product_TN115603200.0_TX115689600.0_EN00100_EX10000_ID01.cts.png | (PlottingUtils.py:178)
2026-01-15 15:56:10 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | The region catalog /shared_dir/panebiancogabriele/IGRJ17354-3255/DetectionFlare/results/MJD_54343_54344/panebianco_AGLJ1736-3250_20260115-155604/sources_library/source_regions.reg will be loaded. | (PlottingUtils.py:192)
2026-01-15 15:56:10 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | Produced: /shared_dir/panebiancogabriele/IGRJ17354-3255/DetectionFlare/results/MJD_54343_54344/panebianco_AGLJ1736-3250_20260115-155604/plots/analysis_product_TN115603200.0_TX115689600.0_EN00100_EX10000_ID01.exp.png | (PlottingUtils.py:178)
2026-01-15 15:56:10 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | The region catalog /shared_dir/panebiancogabriele/IGRJ17354-3255/DetectionFlare/results/MJD_54343_54344/panebianco_AGLJ1736-3250_20260115-155604/sources_library/source_regions.reg will be loaded. | (PlottingUtils.py:192)
2026-01-15 15:56:10 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | Produced: /shared_dir/panebiancogabriele/IGRJ17354-3255/DetectionFlare/results/MJD_54343_54344/panebianco_AGLJ1736-3250_20260115-155604/plots/analysis_product_TN115603200.0_TX115689600.0_EN00100_EX10000_ID01.gas.png | (PlottingUtils.py:178)
2026-01-15 15:56:11 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | The region catalog /shared_dir/panebiancogabriele/IGRJ17354-3255/DetectionFlare/results/MJD_54343_54344/panebianco_AGLJ1736-3250_20260115-155604/sources_library/source_regions.reg will be loaded. | (PlottingUtils.py:192)
2026-01-15 15:56:11 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | Produced: /shared_dir/panebiancogabriele/IGRJ17354-3255/DetectionFlare/results/MJD_54343_54344/panebianco_AGLJ1736-3250_20260115-155604/plots/analysis_product_TN115603200.0_TX115689600.0_EN00100_EX10000_ID01.int.png | (PlottingUtils.py:178)
2026-01-15 15:56:30 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | Light curve plot at: /shared_dir/panebiancogabriele/IGRJ17354-3255/DetectionFlare/results/MJD_54343_54344/panebianco_AGLJ1736-3250_20260115-155604/plots/LightCurve.png | (PlottingUtils.py:423)
2026-01-15 15:56:52 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | Light curve plot at: /shared_dir/panebiancogabriele/IGRJ17354-3255/DetectionFlare/results/MJD_54343_54344/panebianco_AGLJ1736-3250_20260115-155604/plots/LightCurve.png | (PlottingUtils.py:423)
2026-01-15 15:57:33 |[32m INFO     [0m| agilepy.core.AGBaseAnalysis.PlottingUtils | Light curve plot at: /shared_dir/panebiancogabriele/IGRJ17354-3255/DetectionFlare/results/MJD_54343_54344/panebianco_AGLJ1736-3250_20260115-155604/plots/LightCurve.png | (PlottingUtils.py:423)
