time_start_mjd time_end_mjd sqrt(ts) flux flux_err flux_ul gal gal_error iso iso_error l_peak b_peak dist_peak l b r ell_dist a b phi exposure ExpRatio counts counts_err Index Index_Err Par2 Par2_Err Par3 Par3_Err Erglog Erglog_Err Erglog_UL time_start_utc time_end_utc time_start_tt time_end_tt Fix index ULConfidenceLevel SrcLocConfLevel start_l start_b start_flux typefun par2 par3 galmode2 galmode2fit isomode2 isomode2fit edpcor fluxcor integratortype expratioEval expratio_minthr expratio_maxthr expratio_size Emin emax fovmin fovmax albedo binsize expstep phasecode fit_cts fit_fitstatus0 fit_fcn0 fit_edm0 fit_nvpar0 fit_nparx0 fit_iter0 fit_fitstatus1 fit_fcn1 fit_edm1 fit_nvpar1 fit_nparx1 fit_iter1 fit_Likelihood1
55109.0 55109.083333333336 3.24612 663.586e-08 315.436e-08 1422.6e-08 0.50621 0 9.66645 0 355.808 -0.109611 0.0978392 355.52 1.62248 1.35526 0.46851 1.07453 1.62248 84.0009 1577090.0 0 10.4654 4.97472 2.1 0 0 0 0 0 2.0441e-09 9.71663e-10 4.38215e-09 2009-10-05T00:00:00.000 2009-10-05T02:00:00.000 181785600.0 181792800.0 3 2.1 2 5.99147 355.72 -0.153113 1.7848e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 18 49 -1 152.524 0.5 0 134 3 0 147.255 5.14353e-11 1 134 3 193.483
55109.833333333336 55109.916666666664 0 3386180.0e-08 236.216e-08 538.971e-08 0.50621 0 9.66645 0 355.72 -0.153113 8.53774e-07 -1 -1 -1 -1 -1 -1 -1 1294050.0 0 4.38189e-08 3.05676 2.1 0 0 0 0 0 1.04307e-17 7.27635e-10 1.66024e-09 2009-10-05T20:00:00.000 2009-10-05T22:00:00.000 181857600.0 181864800.0 3 2.1 2 5.99147 355.72 -0.153113 1.7848e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 18 43 -1 143.316 0.5 0 134 3 0 143.316 1.43645e-08 1 134 3 184.93
55109.916666666664 55110.0 0.723359 218.498e-08 335.22e-08 1067.11e-08 0.50621 0 9.66645 0 355.72 -0.153113 8.53774e-07 -1 -1 -1 -1 -1 -1 -1 1171390.0 0 2.55946 3.92673 2.1 0 0 0 0 0 6.73056e-10 1.03261e-09 3.28711e-09 2009-10-05T22:00:00.000 2009-10-06T00:00:00.000 181864800.0 181872000.0 3 2.1 2 5.99147 355.72 -0.153113 1.7848e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 18 31 -1 113.72 0.5 0 134 3 0 113.458 2.51596e-10 1 134 3 143.072
55109.083333333336 55109.166666666664 2.97555 401.321e-08 212.535e-08 925.242e-08 0.50621 0 9.66645 0 355.714 -0.0175584 0.135698 356.056 0.780521 0.912131 0.36227 1.07624 0.780521 -19.6912 2097630.0 0 8.41823 4.45821 2.1 0 0 0 0 0 1.23622e-09 6.5469e-10 2.8501e-09 2009-10-05T02:00:00.000 2009-10-05T04:00:00.000 181792800.0 181800000.0 3 2.1 2 5.99147 355.72 -0.153113 1.7848e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 18 53 -1 165.197 0.5 0 134 3 0 160.77 8.87717e-07 1 134 3 212.384
55109.166666666664 55109.25 1.39938 233.547e-08 213.831e-08 781.416e-08 0.50621 0 9.66645 0 355.72 -0.153113 8.53774e-07 -1 -1 -1 -1 -1 -1 -1 1917670.0 0 4.47867 4.10057 2.1 0 0 0 0 0 7.19414e-10 6.58679e-10 2.40706e-09 2009-10-05T04:00:00.000 2009-10-05T06:00:00.000 181800000.0 181807200.0 3 2.1 2 5.99147 355.72 -0.153113 1.7848e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 18 54 -1 163.721 0.5 0 134 3 0 162.742 7.32578e-08 1 134 3 216.742
55109.25 55109.333333333336 0 27755600.0e-08 449.39e-08 445.838e-08 0.50621 0 9.66645 0 355.72 -0.153113 8.53774e-07 -1 -1 -1 -1 -1 -1 -1 1521510.0 0 4.22303e-09 6.83751 2.1 0 0 0 0 0 8.54977e-19 1.38429e-09 1.37335e-09 2009-10-05T06:00:00.000 2009-10-05T08:00:00.000 181807200.0 181814400.0 3 2.1 2 5.99147 355.72 -0.153113 1.7848e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 18 39 -1 133.067 0.5 0 134 3 0 133.067 6.49921e-10 1 134 3 172.067
55109.333333333336 55109.416666666664 0 11102200.0e-08 77.0356e-08 259.099e-08 0.50621 0 9.66645 0 355.72 -0.153113 8.53774e-07 -1 -1 -1 -1 -1 -1 -1 2074100.0 0 2.30272e-09 1.5978 2.1 0 0 0 0 0 3.41991e-19 2.37299e-10 7.98124e-10 2009-10-05T08:00:00.000 2009-10-05T10:00:00.000 181814400.0 181821600.0 3 2.1 2 5.99147 355.72 -0.153113 1.7848e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 18 49 -1 155.716 0.5 0 134 3 0 155.716 1.26142e-09 1 134 3 203.33
55109.416666666664 55109.5 0.607321 153.933e-08 275.461e-08 838.482e-08 0.50621 0 9.66645 0 355.72 -0.153113 8.53774e-07 -1 -1 -1 -1 -1 -1 -1 1565330.0 0 2.40957 4.31188 2.1 0 0 0 0 0 4.74173e-10 8.48524e-10 2.58284e-09 2009-10-05T10:00:00.000 2009-10-05T12:00:00.000 181821600.0 181828800.0 3 2.1 2 5.99147 355.72 -0.153113 1.7848e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 18 37 -1 128.015 0.5 0 134 3 0 127.831 2.53884e-06 1 134 3 160.672
55109.5 55109.583333333336 0 555112000.0e-08 430.944e-08 1438.11e-08 0.50621 0 9.66645 0 355.72 -0.153113 8.53774e-07 -1 -1 -1 -1 -1 -1 -1 232338 0.178465 1.28973e-10 1.00124 2.1 0 0 0 0 0 1.70995e-19 1.32747e-09 4.42992e-09 2009-10-05T12:00:00.000 2009-10-05T14:00:00.000 181828800.0 181836000.0 3 2.1 2 5.99147 355.72 -0.153113 1.7848e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 18 3 -1 19.4337 0.5 0 134 3 0 19.4337 6.79466e-11 1 134 3 22.4337
55109.583333333336 55109.666666666664 0 0 0 0 0.50621 6.93831e-310 9.66645 6.93832e-310 355.72 -0.153113 8.53774e-07 -1 -1 -1 -1 -1 -1 -1 0 100 0 0 2.1 0 0 0 0 0 0 0 0 2009-10-05T14:00:00.000 2009-10-05T16:00:00.000 181836000.0 181843200.0 3 2.1 2 5.99147 355.72 -0.153113 1.7848e-06 0 0 0 0 0 0 0 1 1 1 1 0 15 10 100 10000 0 60 80 0.5 0 18 0 -1 0 0.5 0 134 3 4 0 2 1 134 3 0
